,color
1555,קפה מטאלי
1556,שחור
1557,שחור מטלי
1558,אפור
1559,לבן
1560,כסוף כהה
1561,אפור
1562,אפור מטל
1563,שנהב לבן
1564,שנהב לבן
1565,אדום
1566,שחור
1567,כחול
1568,סגול בהיר
1569,שנהב לבן
1570,שנהב לבן
1571,שחור
1572,אפור מטאלי
1573,אפור מטל
1574,שנהב לבן
1575,אפור מטל
1576,שנהב לבן
1577,שחור
1578,שנהב לבן
1579,שנהב לבן
1580,אפור
1581,לבן
1582,שנהב לבן
1583,שנהב לבן
1584,כחול
1585,שנהב לבן
1586,לבן
1587,שחור מטלי
1588,שנהב לבן
1589,שנהב לבן
1590,שחור מטלי
1591,שנהב לבן
1592,שנהב לבן
1593,שנהב לבן
1594,שנהב לבן
1595,אפור כהה מטלי
1596,שנהב לבן
1597,אפור מטל
1598,שנהב לבן
1599,כסף
1600,לבן
1601,אפור כהה
1602,שנהב לבן
1603,כסוף כהה
1604,אפור מטאלי
1605,כסף מטלי
1606,אפור בהיר
1607,שחור מטלי
1608,שחור
1609,אפור מטל
1610,שנהב לבן
1611,שנהב לבן
1612,אפור בהיר מטלי
1613,כסף מטלי
1614,שנהב לבן
1615,שחור
1616,צהוב מטאלי
1617,אפור כהה
1618,אפור כהה
1619,כסף מטלי
1620,שנהב לבן
1621,כסוף כהה מטלי
1622,שחור
1623,אפור מטל
1624,שחור
1625,שנהב לבן
1626,כסוף כהה
1627,שנהב לבן
1628,לבן
1629,שחור מטלי
1630,אפור מטל
1631,שנהב לבן
1632,לבן
1633,כסף
1634,כסף
1635,לבן
1636,שנהב לבן
1637,לבן
1638,שנהב לבן
1639,שחור
1640,לבן
1641,לבן
1642,שנהב לבן
1643,אדום
1644,שנהב לבן
1645,כחול
1646,אפור
1647,כסוף בהיר
1648,שנהב לבן
1649,שנהב לבן
1650,בז מטאלי
1651,לבן
1652,לבן
1653,שנהב לבן
1654,שחור מטלי
1655,כסף
1656,שחור מטלי
1657,אפור
1658,אפור כהה
1659,אפור
1660,אפור
1661,שחור
1662,לבן
1663,אפור
1664,אפור כהה
1665,כסף
1666,שנהב לבן
1667,שנהב לבן
1668,שחור
1669,אפור
1670,כסף
1671,אפור
1672,שחור
1673,אפור כהה
1674,שנהב לבן
1675,כחול מטל
1676,אדום
1677,שנהב לבן
1678,שחור
1679,שנהב לבן
1680,לבן
1681,כסף מטלי
1682,שנהב לבן
1683,אפור
1684,שנהב לבן
1685,שחור
1686,שחור מטלי
1687,שנהב לבן
1688,שחור
1689,לבן
1690,כחול מטל
1691,לבן
1692,שחור פנינה
1693,ירוק בהיר
1694,כחול
1695,אפור כהה מטלי
1696,שנהב לבן
1697,כסף
1698,לבן
1699,שנהב לבן
1700,שנהב לבן
1701,שחור מטלי
1702,אפור מטל
1703,חום
1704,שחור
1705,אפור מטל
1706,שנהב לבן
1707,שנהב לבן
1708,שנהב לבן
1709,אדום
1710,כחול
1711,אפור כהה
1712,שחור מטלי
1713,שנהב לבן
1714,כסף מטלי
1715,לבן
1716,כחול
1717,כסף
1718,שחור
1719,שנהב לבן
1720,שנהב לבן
1721,שנהב לבן
1722,כחול
1723,שנהב לבן
1724,שחור
1725,בז מטאלי
1726,אפור מטאלי
1727,שנהב לבן
1728,שנהב לבן
1729,לבן
1730,אפור
1731,שחור מטלי
1732,תכלת
1733,שחור
1734,שנהב לבן
1735,חום
1736,אפור
1737,שנהב לבן
1738,שנהב לבן
1739,שנהב לבן
1740,לבן
1741,אפור מטל
1742,שחור
1743,כסף
1744,שחור
1745,כסף מטלי
1746,שנהב לבן
1747,אפור כהה
1748,שחור מטלי
1749,כסף מטלי
1750,כסף
1751,שנהב לבן
1752,שנהב לבן
1753,שנהב לבן
1754,שנהב לבן
1755,שחור
1756,כסף
1757,קפה מטאלי
1758,אפור
1759,שנהב לבן
1760,שנהב לבן
1761,שנהב לבן
1762,אפור מטל
1763,שחור מטלי
1764,חום בהיר
1765,שנהב לבן
1766,שנהב לבן
1767,כסוף כהה
1768,שנהב לבן
1769,אפור
1770,כחול כהה
1771,בז מטאלי
1772,לבן
1773,לבן
1774,כסוף מטאלי
1775,שנהב לבן
1776,שנהב לבן
1777,אפור כהה
1778,שנהב לבן
1779,אפור
1780,שנהב לבן
1781,לבן
1782,שחור מטאלי
1783,אפור
1784,שנהב לבן
1785,אפור בהיר מטלי
1786,כסף
1787,שנהב לבן
1788,לבן
1789,שנהב לבן
1790,אפור
1791,לבן
1792,ברונזה
1793,אפור
1794,שנהב לבן
1795,שנהב לבן
1796,כחול
1797,לבן
1798,כסף מטלי
1799,שנהב לבן
1800,לבן
1801,אפור
1802,שנהב לבן
1803,שנהב לבן
1804,שחור
1805,כסף מטלי
1806,אדום
1807,שחור
1808,אפור
1809,אפור
1810,אפור כהה מטלי
1811,שחור
1812,לבן
1813,לבן
1814,אפור
1815,שחור
1816,שנהב לבן
1817,שחור מטלי
1818,שנהב לבן
1819,כסף
1820,שנהב לבן
1821,שנהב לבן
1822,שחור
1823,שנהב לבן
1824,אפור מטל
1825,שנהב לבן
1826,כחול מטל
1827,שנהב לבן
1828,שנהב לבן
1829,שנהב לבן
1830,שנהב לבן
1831,תכלת
1832,שחור מטלי
1833,שנהב לבן
1834,שנהב לבן
1835,שחור
1836,אפור
1837,לבן
1838,כחול בהיר
1839,לבן
1840,שנהב לבן
1841,לבן
1842,שחור מטלי
1843,שנהב לבן
1844,שנהב לבן
1845,כסוף כהה
1846,כסף מטלי
1847,לבן
1848,כסף מטלי
1849,שחור
1850,כסף
1851,שנהב לבן
1852,כחול
1853,כסף מטלי
1854,אפור כהה
1855,כסף מטלי
1856,כסף תכלת מטלי
1857,כחול
1858,לבן
1859,כחול
1860,שנהב לבן
1861,שנהב לבן
1862,אפור מטל
1863,שחור
1864,לבן
1865,לבן
1866,שחור
1867,שנהב לבן
1868,לבן
1869,כחול כהה מטאלי
1870,שנהב לבן
1871,שנהב לבן
1872,שנהב לבן
1873,שנהב לבן
1874,שנהב לבן
1875,שחור
1876,שנהב לבן
1877,שחור
1878,שנהב לבן
1879,שנהב לבן
1880,שנהב לבן
1881,שחור מטלי
1882,אפור
1883,כסף
1884,בז כהה
1885,שחור
1886,שנהב לבן
1887,כסף
1888,אפור כהה
