,color
1317,שנהב לבן
1318,אפור כהה
1319,שחור מטלי
1320,כסוף מטאלי
1321,אפור
1322,שנהב לבן
1323,שנהב לבן
1324,אפור
1325,שנהב לבן
1326,שנהב לבן
1327,שנהב לבן
1328,שנהב לבן
1329,לבן
1330,שחור מטלי
1331,כסף מטלי
1332,כתום
1333,כסף מטלי
1334,כסף
1335,לבן
1336,תכלת מטאלי
1337,כחול
1338,אפור כחול מטלי
1339,שנהב לבן
1340,אפור בהיר מטלי
1341,שחור
1342,שנהב לבן
1343,כסף
1344,כחול
1345,שנהב לבן
1346,כסף מטלי
1347,שנהב לבן
1348,שנהב לבן
1349,שחור
1350,שחור
1351,שנהב לבן
1352,ירוק
1353,שנהב לבן
1354,בז מטאלי
1355,לבן
1356,אפור כהה
1357,שחור
1358,שנהב לבן
1359,שנהב לבן
1360,כסף מטלי
1361,לבן
1362,לבן
1363,שנהב לבן
1364,שנהב לבן
1365,כסף מטלי
1366,שנהב לבן
1367,כסף מטלי
1368,אפור בהיר
1369,כסף
1370,בז מטאלי
1371,שחור
1372,שנהב לבן
1373,כסוף כהה מטלי
1374,שנהב לבן
1375,שנהב לבן
1376,שחור
1377,שחור
1378,שנהב לבן
1379,שנהב לבן
1380,כחול
1381,אפור בהיר מטלי
1382,שנהב לבן
1383,לבן
1384,אפור מטל
1385,כסוף
1386,שנהב לבן
1387,אפור
1388,כחול פנינה
1389,לבן
1390,כסוף כהה מטלי
1391,כסף
1392,שנהב לבן
1393,אפור
1394,כסף
1395,שנהב לבן
1396,כחול
1397,שנהב לבן
1398,שנהב לבן
1399,שנהב לבן
1400,אפור מטל
1401,שנהב לבן
1402,לבן
1403,שחור מטלי
1404,שנהב לבן
1405,שנהב לבן
1406,שנהב לבן
1407,שנהב לבן
1408,כחול
1409,קרם
1410,אפור מטל
1411,כסוף מטאלי
1412,כחול מטאלי
1413,שנהב לבן
1414,כסוף כהה
1415,שנהב לבן
1416,כסף מטלי
1417,כסוף כהה
1418,שנהב לבן
1419,אדום
1420,כסף
1421,שנהב לבן
1422,כסף מטלי
1423,כחול
1424,שנהב לבן
1425,אפור
1426,שחור מטלי
1427,שן פיל
1428,כסף
1429,שחור
1430,שנהב לבן
1431,לבן
1432,לבן
1433,כסף
1434,שחור מטלי
1435,שחור
1436,כחול כהה
1437,אפור מטל
1438,כסף מטלי
1439,אפור
1440,שחור
1441,כסף מטלי
1442,כסף מטלי
1443,שחור מטלי
1444,שחור
1445,שחור
1446,שנהב לבן
1447,כסף
1448,שחור מטלי
1449,אפור מטל
1450,שנהב לבן
1451,כחול
1452,לבן
1453,שנהב לבן
1454,כסף תכלת מטלי
1455,שנהב לבן
1456,ברונזה
1457,קרם
1458,כסף
1459,לבן
1460,שנהב לבן
1461,אפור
1462,אפור כהה מטלי
1463,כסף
1464,כסף מטלי
1465,כסוף בהיר
1466,אפור כהה
1467,אדום
1468,שנהב לבן
1469,אפור מטל
1470,כסוף כהה
1471,שנהב לבן
1472,ברונזה
1473,כסוף
1474,שנהב לבן
1475,שחור מטלי
1476,שנהב לבן
1477,אפור
1478,שחור מטלי
1479,שנהב לבן
1480,שנהב לבן
1481,לבן
1482,שנהב לבן
1483,שנהב לבן
1484,שנהב לבן
1485,שנהב לבן
1486,כסוף כהה
1487,שנהב לבן
1488,שנהב לבן
1489,אדום
1490,שנהב לבן
1491,שחור מטאלי
1492,אפור מטל
1493,צהוב
1494,לבן
1495,תכלת מטאלי
1496,אדום
1497,כחול
1498,כסף
1499,שחור
1500,תכלת מטאלי
1501,תכלת מטאלי
1502,אפור בהיר מטלי
1503,שנהב לבן
1504,כסף
1505,שחור
1506,שחור מטלי
1507,כסף
1508,כסף מטלי
1509,שנהב לבן
1510,שחור
1511,תכלת מטאלי
1512,לבן
1513,אפור כהה
1514,שחור מטלי
1515,שחור מטלי
1516,אפור מטאלי
1517,שחור
1518,שנהב לבן
1519,שנהב לבן
1520,שחור
1521,לבן
1522,אפור
1523,שנהב לבן
1524,צהוב
1525,שנהב לבן
1526,שנהב לבן
1527,אפור בהיר מטלי
1528,אפור מטאלי
1529,כסף מטלי
1530,לבן
1531,אפור מטל
1532,שנהב לבן
1533,אפור כהה מטלי
1534,שחור
1535,אפור כהה מטלי
1536,שנהב לבן
1537,כסף
1538,אפור כהה
1539,שנהב לבן
1540,לבן
1541,כסוף כהה
1542,אפור
1543,אדום
1544,כחול
1545,שנהב לבן
1546,שנהב לבן
1547,שחור מטלי
1548,שנהב לבן
1549,אפור מטל
1550,שנהב לבן
1551,לבן
1552,כסף מטלי
1553,שנהב לבן
1554,בז מטאלי
