,price,location,version,year,engine,km,owner_num,gear_type,color,origin_own,nxt_test,test_cost,version_num,color_num,engine_num,location_num
78,79900,תל אביב יפו,קיה ספורטז' SPORTAGE URBAN,2018,1591 ליטר בנזין,106000,1,אוטומטי,שחור,ליסינג,3,1604,735,65,49,48
79,495000,נתניה,מרצדס EQC 400 4MATIC AMG,2022,חשמלי,9000,1,אוטומטי,שחור,פרטית,11,4731,439,65,152,28
80,37900,ראשון לציון,פיאט טיפו FIAT TIPO COMFORT,2017,1598 ליטר בנזין,125000,2,אוטומטי,שנהב לבן,ליסינג,11,1205,678,70,53,38
81,115900,כרמיאל,יונדאי טוסון TUCSON PRIME PLUS,2019,1999 ליטר בנזין,75949,1,אוטומטי,כסוף,ליסינג,5,1835,300,40,84,20
84,245000,נתניה,סקודה קודיאק KODIAQ STYLE,2022,1968 ליטר דיזל,10000,2,אוטומטי,שחור מטלי,פרטית,4,3366,622,67,65,28
85,105900,נתניה,יונדאי I20 I20 PRESTIGE,2022,998 ליטר בנזין,8000,1,אוטומטי,כסף,ליסינג,4,1529,264,46,150,28
86,164900,רמת השרון,יונדאי טוסון TUCSON LUXURY,2021,1598 ליטר בנזין,25380,1,אוטומטי,ברונזה,פרטית,7,2417,294,21,53,43
87,154989,קרית שמונה,סקודה סופרב SUPERB AMBITION,2019,1498 ליטר בנזין,108000,2,אוטומטי,אפור מטל,פרטית,4,2019,599,13,39,37
88,125900,פתח תקווה,פיג'ו 3008 3008 PREMIUM,2018,1598 ליטר בנזין,61739,1,אוטומטי,שנהב לבן,פרטית,12,2019,694,70,53,35
89,52000,ירושלים,סיטרואן ברלינגו BERLINGO MAXI,2016,1560 ליטר דיזל,170000,2,ידני,שנהב לבן,ליסינג,6,1424,574,70,43,15
92,124900,תל אביב יפו,מרצדס CLA קלאס CLA180 URBAN FL,2017,1595 ליטר בנזין,126000,2,אוטומטי,אדום,פרטית,1,2563,424,0,50,48
93,125000,שפרעם,מזדה CX-5 CX-5 EXECUTIVE,2018,1998 ליטר בנזין,87000,2,אוטומטי,שנהב לבן,פרטית,4,2019,361,70,82,46
94,73000,חיפה,מיצובישי אאוטלנדר OUTLANDER INSTYLE,2015,1998 ליטר בנזין,171000,2,אוטומטי,כסף,ליסינג,4,1693,380,46,82,12
95,42900,רמת גן,ניסאן אלמרה ALMERA SV,2016,1598 ליטר בנזין,85000,2,אוטומטי,אפור מטל,פרטית,1,1205,469,13,53,42
96,87203,נתניה,ניסאן סנטרה SENTRA SR,2020,1798 ליטר בנזין,79000,1,אוטומטי,לבן,ליסינג,4,1811,480,53,60,28
98,130000,ראשון לציון,יונדאי קונה HYBRID PREMIUM,2021,1580 ליטר בנזין,55000,2,אוטומטי,שנהב לבן,פרטית,10,1811,314,70,44,38
99,91000,תל אביב יפו,מזדה CX-5 CX-5 EXECUTIVE,2016,1998 ליטר בנזין,130000,1,אוטומטי,אפור,פרטית,11,1693,361,6,82,48
100,79900,פתח תקווה,סובארו פורסטר FORESTER X,2015,1995 ליטר בנזין,132000,2,אוטומטי,כסף,פרטית,1,1693,515,46,76,35
102,79900,רמת השרון,סוזוקי ויטארה VITARA GLX 2T,2016,1586 ליטר בנזין,94000,1,אוטומטי,שחור,פרטית,4,1424,529,65,47,43
104,113900,ראשון לציון,טויוטה קורולה HSD SDN SUN,2019,1798 ליטר בנזין,72833,2,אוטומטי,כסף מטלי,פרטית,4,1604,241,49,60,38
105,97900,פתח תקווה,סובארו פורסטר FORESTER 2.0X,2016,1995 ליטר בנזין,128783,1,אוטומטי,אפור כהה,פרטית,1,1693,511,9,76,35
106,29900,ירושלים,הונדה סיוויק CIVIC COMFORT AT,2011,1799 ליטר בנזין,160000,5,אוטומטי,אפור בהיר מטלי,פרטית,1,1369,162,8,62,15
107,85000,לוד,יונדאי I20 I20 PRESTIGE,2019,998 ליטר בנזין,88000,1,אוטומטי,שחור,פרטית,9,1102,264,65,150,21
108,235000,נתניה,ב מ וו X1 XDRIVE25E M-SPORT,2021,1499 ליטר חשמל/בנזין,39000,4,אוטומטי,שנהב לבן,ליסינג,3,4731,75,70,42,28
109,55000,קרית שמונה,שברולט ספארק SPARK LT,2018,1399 ליטר בנזין,110000,1,אוטומטי,שחור מטלי,ליסינג,3,1102,791,67,28,37
112,36999,חיפה,דאציה סנדרו SANDERO LAUREATE,2016,898 ליטר בנזין,95000,3,אוטומטי,שחור מטלי,פרטית,9,985,148,67,146,12
