,price,location,version,year,engine,km,owner_num,gear_type,color,origin_own,nxt_test,test_cost,version_num,color_num,engine_num,location_num
1647,79000,נתניה,מיצובישי ספייס סטאר SPACE STAR SUPREME,2022,1193 ליטר בנזין,8000,1,אוטומטי,כסוף בהיר,פרטית,2,1235,396,41,1,28
1650,82000,חיפה,יונדאי טוסון TUCSON PRIME,2016,1591 ליטר בנזין,107000,2,אוטומטי,בז מטאלי,פרטית,1,1584,298,19,49,12
1651,374990,קרית שמונה,ב מ וו סדרה 5 530E iPERFORMANCE M SPORT,2020,1998 ליטר חשמל/בנזין,54000,2,אוטומטי,לבן,פרטית,1,4731,113,53,83,37
1652,67900,חדרה,פיג'ו 2008 2008 ACTIVE GO,2019,1199 ליטר בנזין,94341,1,אוטומטי,לבן,ליסינג,5,1353,683,53,4,10
1653,125000,נתניה,סיאט לאון LEON FR PLUS,2017,1798 ליטר בנזין,91000,3,אוטומטי,שנהב לבן,פרטית,7,1835,554,70,60,28
1654,136900,רמת גן,אאודי Q3 Q3 EXECUTIVE,2017,1984 ליטר בנזין,85000,2,אוטומטי,שחור מטלי,פרטית,10,2563,30,67,68,42
1655,80000,עפולה,מזדה 3 MAZDA 3 SPORT,2017,1998 ליטר בנזין,140000,1,אוטומטי,כסף,פרטית,7,1604,344,46,82,32
1656,73000,חיפה,אופל מוקה X ENJOY - SR,2018,1364 ליטר בנזין,95000,2,אוטומטי,שחור מטלי,פרטית,7,1604,55,67,19,12
1659,124900,אשדוד,מיצובישי אאוטלנדר OUTLANDER INTENSE,2019,1998 ליטר בנזין,111598,1,אוטומטי,אפור,ליסינג,6,2019,381,6,82,4
1660,79000,בת ים,מזדה 3 MAZDA 3 PREMIUM,2017,1998 ליטר בנזין,120000,3,אוטומטי,אפור,פרטית,3,1604,342,6,82,7
1662,92000,רעננה,טויוטה קורולה SDN SUN,2019,1598 ליטר בנזין,91000,1,אוטומטי,לבן,השכרה,5,1604,244,53,53,44
1664,59900,ראשון לציון,סובארו פורסטר FORESTER X,2013,1995 ליטר בנזין,162000,2,אוטומטי,אפור כהה,פרטית,2,1693,515,9,76,38
1665,55000,לוד,יונדאי I20 I20 INSPIRE,2016,1368 ליטר בנזין,90000,2,אוטומטי,כסף,פרטית,5,1205,262,46,20,21
1666,61900,חיפה,סיטרואן ג'מפי JUMPY L1-H1/10K,2016,1997 ליטר דיזל,190000,1,ידני,שנהב לבן,פרטית,5,1693,578,70,80,12
1671,197000,ראשון לציון,מיצובישי אאוטלנדר OUTLANDER INSTYLE,2021,2488 ליטר בנזין,25000,1,אוטומטי,אפור,פרטית,9,2417,380,6,100,38
1672,101900,רמת השרון,סובארו פורסטר FORESTER 2.0X,2016,1995 ליטר בנזין,89022,2,אוטומטי,שחור,פרטית,1,1693,511,65,76,43
1673,21000,פתח תקווה,פורד פוקוס FOCUS TREND,2013,1596 ליטר בנזין,200000,2,אוטומטי,אפור כהה,פרטית,6,1424,666,9,51,35
1674,44900,ראשון לציון,קיה פיקנטו PICANTO SPORT,2015,1248 ליטר בנזין,110000,2,אוטומטי,שנהב לבן,פרטית,8,985,741,70,7,38
1675,395000,שפרעם,ב מ וו X4 XDRIVE20I EXECUTIVE,2022,1998 ליטר בנזין,20,1,אוטומטי,כחול מטל,פרטית,5,4731,80,36,82,46
1676,86092,רעננה,מזדה 3 MAZDA 3 PREMIUM,2017,1998 ליטר בנזין,130500,1,אוטומטי,אדום,פרטית,2,1604,342,0,82,44
1678,388000,נתניה,מרצדס קלאס C C180 AMG LINE FLT,2022,1496 ליטר בנזין,12000,3,אוטומטי,שחור,פרטית,6,4731,463,65,36,28
1679,107000,חדרה,פיג'ו 3008 3008 GT,2017,1997 ליטר דיזל,160000,1,אוטומטי,שנהב לבן,פרטית,7,2563,693,70,80,10
1680,112000,אבן יהודה,יונדאי טוסון TUCSON SUPREME,2017,1999 ליטר בנזין,81300,2,אוטומטי,לבן,פרטית,3,2019,301,53,84,0
1683,27999,פרדס חנה כרכור,פיג'ו 308 SW SW ACTIVE,2016,1199 ליטר בנזין,190000,2,אוטומטי,אפור,ליסינג,2,1424,698,6,4,34
1685,101900,ראשון לציון,קיה ספורטז' SPORTAGE URBAN,2017,1999 ליטר בנזין,100000,1,אוטומטי,שחור,פרטית,2,1835,735,65,84,38
1686,29900,ראשון לציון,סקודה אוקטביה OCTAVIA AMBIENTE,2012,1197 ליטר בנזין,203000,2,אוטומטי,שחור מטלי,פרטית,8,1262,583,67,2,38
1688,89900,ראשון לציון,קיה ספורטז' SPORTAGE URBAN,2016,1999 ליטר בנזין,89900,1,אוטומטי,שחור,פרטית,1,1584,735,65,84,38
1690,79999,עפולה,שברולט ספארק SPARK PREMIER,2020,1399 ליטר בנזין,12000,1,אוטומטי,כחול מטל,פרטית,2,1235,794,36,28,32
1691,115900,אשדוד,טויוטה קורולה HSD SDN SUN,2019,1798 ליטר בנזין,77817,1,אוטומטי,לבן,ליסינג,3,1604,241,53,60,4
1693,12900,ראשון לציון,הונדה סיוויק CIVIC ES,2003,1590 ליטר בנזין,235000,2,אוטומטי,ירוק בהיר,פרטית,4,1262,164,29,48,38
1695,60000,חיפה,רנו קאדג'ר KADJAR LIFE,2017,1197 ליטר בנזין,127000,2,אוטומטי,אפור כהה מטלי,השכרה,11,1424,758,10,2,12
1696,117000,הרצליה,פיג'ו 2008 2008 ACTIVE,2021,1499 ליטר דיזל,54000,2,אוטומטי,שנהב לבן,פרטית,11,1811,682,70,41,9
1698,79900,חיפה,סוזוקי ויטארה VITARA GLXV,2016,1586 ליטר בנזין,108471,1,אוטומטי,לבן,פרטית,4,1424,530,53,47,12
1699,114900,ראשון לציון,ניסאן X TRAIL X-TRAIL TEKNA,2017,1995 ליטר דיזל,100000,1,אוטומטי,שנהב לבן,פרטית,2,2019,467,70,77,38
1700,69000,כפר כנא,מזדה CX-5 CX5 LUXURY,2013,1998 ליטר בנזין,230000,2,אוטומטי,שנהב לבן,פרטית,5,1693,366,70,82,18
1701,188000,נתניה,אאודי A3 SPORTBACK SLINE SHARP,2021,1498 ליטר בנזין,30000,2,אוטומטי,שחור מטלי,ליסינג,4,3366,13,67,39,28
1702,92000,נתניה,ניסאן קשקאי QASHQAI ACENTA,2018,1197 ליטר בנזין,77000,1,אוטומטי,אפור מטל,ליסינג,6,1604,483,13,2,28
1703,115000,כפר סבא,פיג'ו 3008 3008 PREMIUM,2018,1560 ליטר דיזל,46000,1,אוטומטי,חום,פרטית,2,2019,694,23,43,19
1705,77900,ראשון לציון,שברולט ספארק SPARK PREMIER,2021,1399 ליטר בנזין,14000,1,אוטומטי,אפור מטל,פרטית,3,1235,794,13,28,38
1706,335000,חיפה,טויוטה לנד קרוזר LAND CRUISER LUXURY,2022,2755 ליטר דיזל,19000,1,אוטומטי,שנהב לבן,פרטית,1,4731,222,70,108,12
1707,100000,חיפה,ניסאן קשקאי QASHQAI ACENTA TECH,2018,1197 ליטר בנזין,30000,1,אוטומטי,שנהב לבן,פרטית,6,1835,486,70,2,12
1708,58000,חיפה,סקודה אוקטביה OCTAVIA AMBITION,2016,1197 ליטר בנזין,175000,2,אוטומטי,שנהב לבן,ליסינג,7,1424,584,70,2,12
1709,65000,ראשון לציון,מיצובישי פאג'רו PAJERO DAKAR,2008,3200 ליטר דיזל,400000,3,אוטומטי,אדום,פרטית,3,1508,397,0,127,38
1710,74900,ראשון לציון,מזדה CX-5 CX-5 EXECUTIVE,2015,1998 ליטר בנזין,192000,2,אוטומטי,כחול,ליסינג,8,1693,361,31,82,38
1711,119900,פתח תקווה,סקודה קארוק KAROQ STYLE,2018,1498 ליטר בנזין,64000,1,אוטומטי,אפור כהה,פרטית,3,1835,616,9,39,35
1712,93000,חיפה,סקודה אוקטביה OCTAVIA AMBITION,2018,1395 ליטר בנזין,121000,1,אוטומטי,שחור מטלי,ליסינג,9,1604,584,67,24,12
1713,67000,חיפה,קיה פיקנטו PICANTO LX,2018,1248 ליטר בנזין,98000,2,אוטומטי,שנהב לבן,ליסינג,5,1102,740,70,7,12
1714,107000,חיפה,טויוטה קורולה HSD SDN SUN,2019,1798 ליטר בנזין,87000,1,אוטומטי,כסף מטלי,ליסינג,3,1604,241,49,60,12
1717,90000,נתניה,קיה ספורטז' SPORTAGE URBAN,2019,1591 ליטר בנזין,120000,1,אוטומטי,כסף,ליסינג,10,1604,735,46,49,28
1718,112900,פתח תקווה,מיצובישי אאוטלנדר OUTLANDER INTENSE,2017,1998 ליטר בנזין,89820,2,אוטומטי,שחור,פרטית,1,2019,381,65,82,35
1719,112500,ראשון לציון,טויוטה C-HR C-HR CITY,2017,1197 ליטר בנזין,95000,1,אוטומטי,שנהב לבן,פרטית,4,1604,181,70,2,38
1720,75900,פתח תקווה,דאציה דאסטר DUSTER LAUREATE,2020,1461 ליטר דיזל,98000,1,ידני,שנהב לבן,ליסינג,4,1529,145,70,29,35
1721,215000,עיספיא,וולבו XC40 RECHARGET5 PHEV INS EXP,2020,1477 ליטר חשמל/בנזין,41000,1,אוטומטי,שנהב לבן,ליסינג,9,3366,173,70,32,31
1722,198000,חולון,סקודה סופרב SUPERB ELITE,2022,1498 ליטר בנזין,28000,1,אוטומטי,כחול,פרטית,3,3366,602,31,39,11
1724,99990,קרית שמונה,מזדה 2 MAZDA 2 DYNAMIC,2022,1496 ליטר בנזין,10000,1,אוטומטי,שחור,פרטית,2,1235,337,65,36,37
1726,70900,רמת השרון,שברולט ספארק SPARK LTZ,2019,1399 ליטר בנזין,41306,1,אוטומטי,אפור מטאלי,פרטית,1,1102,793,12,28,43
1727,71000,חיפה,יונדאי I25 I25 PREMIUM,2018,1591 ליטר בנזין,110000,1,אוטומטי,שנהב לבן,פרטית,1,1353,269,70,49,12
1728,189000,ירושלים,ב מ וו סדרה 3 330E IPERFORMAN EXCLUSIVE,2018,1998 ליטר חשמל/בנזין,120000,1,אוטומטי,שנהב לבן,פרטית,9,2563,100,70,83,15
1729,86000,שדרות,יונדאי סונטה HYBRID LIMITED,2016,1999 ליטר בנזין,143000,2,אוטומטי,לבן,ליסינג,9,1693,304,53,84,45
1730,34000,נתניה,מיצובישי אטראז ATTRAGE INSTYLE,2016,1193 ליטר בנזין,262000,1,אוטומטי,אפור,ליסינג,7,985,388,6,1,28
1731,700000,קרית שמונה,ב מ וו M4 COMPETITION COMPETITION,2022,2993 ליטר בנזין,10000,2,אוטומטי,שחור מטלי,פרטית,1,4731,71,67,115,37
1733,125000,פתח תקווה,יונדאי סונטה HYBRID LIMITED,2018,1999 ליטר בנזין,104000,1,אוטומטי,שחור,פרטית,2,2019,304,65,84,35
1734,99000,נס ציונה,טויוטה קורולה SDN SUN,2019,1598 ליטר בנזין,108000,1,אוטומטי,שנהב לבן,ליסינג,5,1604,244,70,53,25
1737,95000,נוף הגליל,יונדאי איוניק HYBRID PREMIUM,2019,1580 ליטר בנזין,128000,1,אוטומטי,שנהב לבן,ליסינג,3,1604,283,70,44,24
1738,75900,ראשון לציון,קיה פיקנטו PICANTO LX,2020,1248 ליטר בנזין,55000,1,אוטומטי,שנהב לבן,פרטית,11,1102,740,70,7,38
1741,89000,ראשון לציון,יונדאי סונטה HYBRID LIMITED,2016,1999 ליטר בנזין,69000,2,אוטומטי,אפור מטל,פרטית,1,1693,304,13,84,38
1744,275000,ראשון לציון,ג'יפ רנגלר WRANGLER ETQ SPORT,2021,3604 ליטר בנזין,28000,2,אוטומטי,שחור,פרטית,3,4731,138,65,136,38
1745,35000,נתניה,טויוטה קורולה COROLLA GLI,2009,1598 ליטר בנזין,279000,1,ידני,כסף מטלי,פרטית,5,1262,234,49,53,28
1746,51500,חיפה,סיטרואן ברלינגו BERLINGO COMFORT,2017,1560 ליטר דיזל,170000,2,ידני,שנהב לבן,פרטית,10,1604,571,70,43,12
1747,205000,נתניה,סובארו פורסטר FORESTER SPORT,2022,2498 ליטר בנזין,3000,1,אוטומטי,אפור כהה,פרטית,7,2417,514,9,104,28
1749,89000,ראשון לציון,אאודי Q5 Q5 EXECUTIVE,2014,1984 ליטר בנזין,89000,2,אוטומטי,כסף מטלי,פרטית,5,2397,37,49,68,38
1750,105000,כפר סבא,מיצובישי אאוטלנדר OUTLANDER INTENSE,2017,1998 ליטר בנזין,58000,1,אוטומטי,כסף,פרטית,1,1835,381,46,82,19
1751,89000,עיספיא,טויוטה יאריס HYBRID STYLE,2020,1497 ליטר בנזין,124000,1,אוטומטי,שנהב לבן,ליסינג,1,1529,216,70,38,31
1753,259000,חיפה,טויוטה RAV4 PLUG IN E-MOTION,2021,2487 ליטר חשמל/בנזין,43000,1,אוטומטי,שנהב לבן,פרטית,7,3366,197,70,99,12
1754,57000,תל אביב יפו,פיאט דובלו FIAT DOBLO COMBI,2018,1248 ליטר דיזל,98000,1,ידני,שנהב לבן,פרטית,6,1604,677,70,8,48
1755,82900,רמת השרון,יונדאי סונטה HYBRID LIMITED,2015,1999 ליטר בנזין,127702,2,אוטומטי,שחור,פרטית,9,1693,304,65,84,43
1756,69000,פתח תקווה,יונדאי אלנטרה ELANTRA GL,2017,1591 ליטר בנזין,114000,2,אוטומטי,כסף,ליסינג,1,1604,287,46,49,35
1758,184203,נתניה,וולבו XC40 T3 MOM LEATHER,2021,1477 ליטר בנזין,43403,1,אוטומטי,אפור,ליסינג,1,3366,174,6,31,28
1759,88000,נתניה,טויוטה יאריס YARIS BLACKTOP,2018,1496 ליטר בנזין,41000,1,אוטומטי,שנהב לבן,פרטית,4,1353,217,70,36,28
1760,99000,סח'נין,קיה ספורטז' SPORTAGE URBAN,2017,1999 ליטר בנזין,80000,2,אוטומטי,שנהב לבן,פרטית,8,1835,735,70,84,29
1761,59900,ראשון לציון,מיני קאנטרימן COUNTRYMAN PEPPER,2013,1598 ליטר בנזין,93500,2,אוטומטי,שנהב לבן,פרטית,2,1693,368,70,53,38
1762,91900,פתח תקווה,יונדאי I20 I20 PRIME PLUS,2020,998 ליטר בנזין,30000,2,אוטומטי,אפור מטל,פרטית,8,1529,266,13,150,35
1763,105000,עפולה,ניסאן X TRAIL X-TRAIL TEKNA,2016,1598 ליטר דיזל,150000,2,אוטומטי,שחור מטלי,ליסינג,3,1693,467,67,54,32
1764,118000,פתח תקווה,מיצובישי אאוטלנדר OUTLANDER INTENSE,2019,1998 ליטר בנזין,58000,2,אוטומטי,חום בהיר,ליסינג,3,2019,381,24,82,35
1765,64999,חיפה,סיטרואן ברלינגו BERLINGO COMFORT PLUS,2018,1560 ליטר דיזל,140000,1,ידני,שנהב לבן,פרטית,7,1604,572,70,43,12
1766,94900,חיפה,רנו קאדג'ר KADJAR INTENSE,2018,1461 ליטר דיזל,72848,1,אוטומטי,שנהב לבן,פרטית,6,1835,757,70,29,12
1767,94900,ראשון לציון,יונדאי איוניק HYBRID PREMIUM FL,2019,1580 ליטר בנזין,108000,1,אוטומטי,כסוף כהה,פרטית,7,1604,284,42,44,38
1768,121000,חיפה,קיה נירו NIRO EX,2018,1580 ליטר בנזין,39000,1,אוטומטי,שנהב לבן,פרטית,8,1604,714,70,44,12
1769,119900,ראשון לציון,יונדאי סנטה פה SANTA FE SUPREME,2015,2199 ליטר דיזל,155000,2,אוטומטי,אפור,פרטית,5,1962,312,6,88,38
1770,14999,פרדס חנה כרכור,פורד פוקוס FOCUS TREND,2012,1596 ליטר בנזין,188000,2,אוטומטי,כחול כהה,אחר,3,1262,666,33,51,34
1771,96000,נתניה,יונדאי טוסון TUCSON SUPREME,2016,1999 ליטר בנזין,80000,2,אוטומטי,בז מטאלי,ליסינג,1,1693,301,19,84,28
1772,119900,חדרה,סיטרואן C5 AIRCROSS C5 AIRCROSS FEEL,2020,1499 ליטר דיזל,60491,1,אוטומטי,לבן,ליסינג,12,1835,569,53,41,10
1777,118900,חיפה,פיג'ו 3008 3008 ACTIVE,2020,1199 ליטר בנזין,59039,1,אוטומטי,אפור כהה,פרטית,6,2130,691,9,4,12
1781,79999,חיפה,ניסאן קשקאי QASHQAI VISIA,2017,1197 ליטר בנזין,98000,2,אוטומטי,לבן,אחר,3,1835,490,53,2,12
1784,100000,נס ציונה,קיה ספורטז' SPORTAGE URBAN,2017,1999 ליטר בנזין,51000,1,אוטומטי,שנהב לבן,פרטית,6,1835,735,70,84,25
1785,91900,חדרה,הונדה HR-V HR-V COMFORT,2019,1498 ליטר בנזין,73988,1,אוטומטי,אפור בהיר מטלי,ליסינג,10,1604,154,8,39,10
1786,118900,רמת השרון,קיה ספורטז' SPORTAGE URBAN,2019,1999 ליטר בנזין,67259,1,אוטומטי,כסף,פרטית,11,1835,735,46,84,43
1788,111000,מאיפה שנוח לך בארץ,טויוטה קורולה סטיישן SPACE,2019,1798 ליטר בנזין,139142,1,אוטומטי,לבן,אחר,5,1604,245,53,60,22
1789,89000,רחובות,ניסאן קשקאי QASHQAI ACENTA,2018,1197 ליטר בנזין,72000,1,אוטומטי,שנהב לבן,פרטית,8,1604,483,70,2,39
1792,110500,תל אביב יפו,פורד אדג' EDGE TITANIUM TITANIUM,2016,3497 ליטר בנזין,90000,1,אוטומטי,ברונזה,פרטית,1,2397,655,21,131,48
1793,33400,מאיפה שנוח לך בארץ,מיצובישי אטראז ATTRAGE INSTYLE,2016,1193 ליטר בנזין,247170,1,אוטומטי,אפור,אחר,7,985,388,6,1,22
1794,68000,לוד,קיה ספורטז' SPORTAGE URBAN,2015,1591 ליטר בנזין,115000,3,אוטומטי,שנהב לבן,פרטית,6,1424,735,70,49,21
1796,118900,חיפה,קיה ספורטז' SPORTAGE URBAN,2020,1999 ליטר בנזין,43485,1,אוטומטי,כחול,פרטית,5,2130,735,31,84,12
1797,77000,נתניה,רנו גראנד קופה COUPE INTENSE,2018,1461 ליטר דיזל,87500,1,אוטומטי,לבן,ליסינג,2,1604,747,53,29,28
1799,120000,ירכא,טויוטה RAV4 HYBRID PREMIUM,2016,2494 ליטר בנזין,190000,1,אוטומטי,שנהב לבן,פרטית,4,1693,195,70,101,16
1800,250000,נתניה,אאודי Q7 Q7 PREMIUM,2016,2967 ליטר דיזל,130000,2,אוטומטי,לבן,פרטית,6,2397,44,53,111,28
1803,138500,בת ים,קיה ספורטז' SPORTAGE PREMIUM GT,2018,1591 ליטר בנזין,60000,2,אוטומטי,שנהב לבן,פרטית,8,2019,733,70,49,7
1805,86900,רמת השרון,טויוטה קורולה סטיישן SPACE,2019,1798 ליטר בנזין,165023,1,אוטומטי,כסף מטלי,ליסינג,5,1604,245,49,60,43
1806,39500,עיספיא,פיאט 500X 500X POP STAR,2015,1368 ליטר בנזין,124000,3,אוטומטי,אדום,פרטית,4,1424,674,0,20,31
1807,74900,פתח תקווה,קיה פיקנטו PICANTO EX,2019,1248 ליטר בנזין,65000,1,אוטומטי,שחור,פרטית,1,1102,738,65,7,35
1808,168000,מאיפה שנוח לך בארץ,אאודי A4 A4 LIMITED,2019,1984 ליטר בנזין,102730,1,אוטומטי,אפור,אחר,12,2563,16,6,68,22
1809,117900,חיפה,קיה נירו NIRO EX,2019,1580 ליטר בנזין,95000,1,אוטומטי,אפור,פרטית,11,1604,714,6,44,12
1810,168500,בת ים,טויוטה RAV4 HYBRID E-MOTION,2019,2487 ליטר בנזין,105000,2,אוטומטי,אפור כהה מטלי,פרטית,3,2019,191,10,98,7
1812,266750,נתניה,ג'יפ רנגלר WRANGLER ETQ SPORT S,2021,3604 ליטר בנזין,40000,2,אוטומטי,לבן,פרטית,2,4731,139,53,136,28
1814,74900,ראשון לציון,מזדה 3 MAZDA 3 SPORT,2017,1998 ליטר בנזין,117000,2,אוטומטי,אפור,ליסינג,1,1604,344,6,82,38
1815,73000,רחובות,קיה פיקנטו PICANTO EX,2018,1248 ליטר בנזין,50000,1,אוטומטי,שחור,פרטית,2,1102,738,65,7,39
1816,117000,עפולה,סקודה סופרב SUPERB STYLE,2018,1395 ליטר בנזין,200000,3,אוטומטי,שנהב לבן,ליסינג,6,2019,608,70,24,32
1819,92900,פתח תקווה,קיה נירו NIRO LX,2019,1580 ליטר בנזין,170757,1,אוטומטי,כסף,ליסינג,1,1604,715,46,44,35
1821,127000,חיפה,מיצובישי אקליפס קרוס ECLIPSE CROSS PREMIUM,2019,1499 ליטר בנזין,53000,1,אוטומטי,שנהב לבן,פרטית,5,2019,393,70,40,12
1822,112900,אשדוד,טויוטה קורולה HSD SDN SUN,2019,1798 ליטר בנזין,92762,1,אוטומטי,שחור,ליסינג,3,1604,241,65,60,4
1823,80900,חיפה,קיה פיקנטו PICANTO EX,2020,1248 ליטר בנזין,26046,2,אוטומטי,שנהב לבן,פרטית,4,1235,738,70,7,12
1824,75900,חיפה,יונדאי I10 I10 PRIME,2021,1197 ליטר בנזין,35000,2,אוטומטי,אפור מטל,פרטית,11,1235,258,13,2,12
1825,320000,נתניה,טויוטה לנד קרוזר LAND CRUISER LUXURY 5,2020,2755 ליטר דיזל,98000,1,אוטומטי,שנהב לבן,פרטית,11,3357,223,70,108,28
1827,34000,חיפה,אופל אסטרה ברלינה BERLINA ENJOY,2016,1364 ליטר בנזין,103000,2,אוטומטי,שנהב לבן,ליסינג,9,1424,52,70,19,12
1828,710000,עפולה,ב מ וו X6 XDRIVE 30D M-SUPERIOR,2022,2993 ליטר דיזל,3600,1,אוטומטי,שנהב לבן,פרטית,8,4731,88,70,116,32
1829,76500,ראשון לציון,ניסאן קשקאי QASHQAI TEKNA,2015,1197 ליטר בנזין,95000,3,אוטומטי,שנהב לבן,פרטית,7,1693,489,70,2,38
1830,144500,קרית אתא,יונדאי טוסון TUCSON PANORAMIC,2019,1999 ליטר בנזין,71000,1,אוטומטי,שנהב לבן,פרטית,2,2019,296,70,84,36
1832,94999,פרדס חנה כרכור,יונדאי וניו VENUE SUPREME,2020,1598 ליטר בנזין,89000,1,אוטומטי,שחור מטלי,ליסינג,4,1811,291,67,53,34
1833,156900,ראשון לציון,יונדאי טוסון TUCSON PREMIUM,2021,1999 ליטר בנזין,20000,1,אוטומטי,שנהב לבן,ליסינג,4,2130,297,70,84,38
1834,410000,עפולה,מרצדס S קלאס S560 4MATIC ESSENCE A,2017,3982 ליטר בנזין,94000,5,אוטומטי,שנהב לבן,פרטית,5,3357,462,70,142,32
1835,255983,נתניה,טסלה MODEL 3 MODEL 3 PERFORMANCE,2022,חשמלי,19000,1,אוטומטי,שחור,ליסינג,1,3366,249,65,152,28
1839,131900,אשדוד,פיג'ו 3008 3008 PREMIUM,2019,1598 ליטר בנזין,76421,1,אוטומטי,לבן,ליסינג,6,2019,694,53,53,4
1840,36000,רחובות,יונדאי I25 I25 INSPIRE,2012,1396 ליטר בנזין,155000,2,אוטומטי,שנהב לבן,ליסינג,12,1074,268,70,26,39
1841,108900,אשדוד,מיצובישי אקליפס קרוס ECLIPSE CROSS INTENSE,2019,1499 ליטר בנזין,86736,1,אוטומטי,לבן,ליסינג,5,1835,392,53,40,4
1842,99999,ראשון לציון,סקודה אוקטביה OCTAVIA AMBITION,2019,999 ליטר בנזין,57000,1,אוטומטי,שחור מטלי,ליסינג,1,1604,584,67,151,38
1845,69900,ראשון לציון,מזדה CX-5 CX5 EXECUTIVE,2015,1998 ליטר בנזין,197315,2,אוטומטי,כסוף כהה,ליסינג,1,1693,365,42,82,38
1848,99990,נתניה,טויוטה קורולה HSD SDN SUN,2019,1798 ליטר בנזין,110000,1,אוטומטי,כסף מטלי,ליסינג,1,1604,241,49,60,28
1849,129999,חיפה,יונדאי טוסון TUCSON PANORAMIC,2019,1999 ליטר בנזין,55000,1,אוטומטי,שחור,פרטית,5,2019,296,65,84,12
1850,128000,קרית שמונה,קיה XCeed XCEED LX,2021,1353 ליטר בנזין,41000,1,אוטומטי,כסף,פרטית,10,1811,712,46,17,37
1852,43042,מאיפה שנוח לך בארץ,פיג'ו 208 208 ACCESS,2017,1199 ליטר בנזין,121009,1,אוטומטי,כחול,ליסינג,12,985,685,31,4,22
1853,85900,חדרה,סקודה אוקטביה OCTAVIA AMBITION,2019,1498 ליטר בנזין,163925,1,אוטומטי,כסף מטלי,ליסינג,5,1604,584,49,39,10
1854,115000,ירושלים,שברולט אקוינוקס EQUINOX LT PLUS,2020,1490 ליטר בנזין,65000,1,אוטומטי,אפור כהה,פרטית,11,2019,776,9,33,15
1855,179000,עפולה,טויוטה לנד קרוזר LAND CRUISER LUXURY,2010,2982 ליטר דיזל,327000,4,אוטומטי,כסף מטלי,פרטית,7,1726,222,49,113,32
1857,52000,חולון,קיה ריו RIO EX,2014,1396 ליטר בנזין,35000,1,אוטומטי,כחול,פרטית,10,1205,744,31,26,11
1859,112900,חיפה,קיה ספורטז' SPORTAGE TURBO TOP,2020,1591 ליטר בנזין,37035,2,אוטומטי,כחול,פרטית,5,2130,734,31,49,12
1860,104900,עפולה,קיה נירו NIRO EX,2018,1580 ליטר בנזין,98000,2,אוטומטי,שנהב לבן,ליסינג,6,1604,714,70,44,32
1861,80000,לוד,יונדאי אלנטרה ELANTRA INSPIRE SR,2018,1591 ליטר בנזין,110000,2,אוטומטי,שנהב לבן,פרטית,6,1604,289,70,49,21
1862,105000,כרמיאל,סקודה אוקטביה OCTAVIA AMBITION,2019,1498 ליטר בנזין,119000,1,אוטומטי,אפור מטל,ליסינג,8,1604,584,13,39,20
1863,102990,עפולה,קיה ספורטז' SPORTAGE URBAN,2019,1598 ליטר דיזל,160000,1,אוטומטי,שחור,ליסינג,5,1835,735,65,54,32
1864,106900,פתח תקווה,סיטרואן C3 אירקרוסר C3 AIRCROSS SHINE PK,2021,1199 ליטר בנזין,19799,1,אוטומטי,לבן,פרטית,9,1811,564,53,4,35
1865,63900,חדרה,הונדה ג'אז JAZZ TREND,2019,1318 ליטר בנזין,140235,1,אוטומטי,לבן,ליסינג,5,1353,158,53,10,10
1866,68000,טמרה,סובארו XV XV 1.6 I,2016,1600 ליטר בנזין,101000,1,אוטומטי,שחור,פרטית,11,1424,496,65,56,14
1867,59900,חולון,שברולט טרוורס TRAVERSE LT,2013,3564 ליטר בנזין,190000,2,אוטומטי,שנהב לבן,פרטית,7,2397,782,70,133,11
1869,149900,חיפה,מזדה CX-5 CX-5 EXECUTIVE,2020,1998 ליטר בנזין,26132,1,אוטומטי,כחול כהה מטאלי,פרטית,7,2417,361,34,82,12
1870,132000,חיפה,מיצובישי אאוטלנדר OUTLANDER INTENSE,2019,1998 ליטר בנזין,125000,1,אוטומטי,שנהב לבן,ליסינג,4,2019,381,70,82,12
1871,95000,נתיבות,יונדאי איוניק HYBRID PREMIUM,2019,1580 ליטר בנזין,99000,2,אוטומטי,שנהב לבן,פרטית,4,1604,283,70,44,27
1872,38700,עפולה,ניסאן ג'וק JUKE ACENTA,2014,1598 ליטר בנזין,90907,2,אוטומטי,שנהב לבן,פרטית,5,1424,470,70,53,32
1874,485000,נתניה,ב מ וו סדרה 5 545E XDRIVE M-SPORT,2022,2998 ליטר חשמל/בנזין,26000,2,אוטומטי,שנהב לבן,פרטית,11,4731,114,70,122,28
1875,230000,עראבה,יונדאי סנטה פה SANTA FE LUXURY,2020,2199 ליטר דיזל,150000,1,אוטומטי,שחור,פרטית,5,4731,310,65,88,33
1877,299000,שפרעם,אאודי A5 SPORTBACK ADV LUXURY,2021,1984 ליטר בנזין,16000,2,אוטומטי,שחור,פרטית,3,4731,19,65,68,46
1878,61000,תל אביב יפו,וולבו S80 T4 BUSINESS,2015,1595 ליטר בנזין,105000,2,אוטומטי,שנהב לבן,פרטית,9,1962,170,70,50,48
1879,137900,פתח תקווה,מיצובישי אאוטלנדר OUTLANDER INSTYLE,2019,1998 ליטר בנזין,73082,1,אוטומטי,שנהב לבן,פרטית,5,2019,380,70,82,35
1880,29999,פרדס חנה כרכור,מזדה 5 MAZDA 5 EXECUTIVE,2010,1999 ליטר בנזין,230000,3,אוטומטי,שנהב לבן,פרטית,5,1427,347,70,84,34
