,color
1558,שנהב לבן
1559,לבן
1560,כסף מטלי
1561,שנהב לבן
1562,בז מטאלי
1563,קפה מטאלי
1564,שחור
1565,שחור מטלי
1566,אפור
1567,לבן
1568,כסוף כהה
1569,אפור
1570,אפור מטל
1571,שנהב לבן
1572,שנהב לבן
1573,אדום
1574,שחור
1575,כחול
1576,סגול בהיר
1577,שנהב לבן
1578,שנהב לבן
1579,שחור
1580,אפור מטאלי
1581,אפור מטל
1582,שנהב לבן
1583,אפור מטל
1584,שנהב לבן
1585,שחור
1586,שנהב לבן
1587,שנהב לבן
1588,אפור
1589,לבן
1590,שנהב לבן
1591,שנהב לבן
1592,כחול
1593,שנהב לבן
1594,לבן
1595,שחור מטלי
1596,שנהב לבן
1597,שנהב לבן
1598,שחור מטלי
1599,שנהב לבן
1600,שנהב לבן
1601,שנהב לבן
1602,שנהב לבן
1603,אפור כהה מטלי
1604,שנהב לבן
1605,אפור מטל
1606,שנהב לבן
1607,כסף
1608,לבן
1609,אפור כהה
1610,שנהב לבן
1611,כסוף כהה
1612,אפור מטאלי
1613,כסף מטלי
1614,אפור בהיר
1615,שחור מטלי
1616,שחור
1617,אפור מטל
1618,שנהב לבן
1619,שנהב לבן
1620,אפור בהיר מטלי
1621,כסף מטלי
1622,שנהב לבן
1623,שחור
1624,צהוב מטאלי
1625,אפור כהה
1626,אפור כהה
1627,כסף מטלי
1628,שנהב לבן
1629,כסוף כהה מטלי
1630,שחור
1631,אפור מטל
1632,שחור
1633,שנהב לבן
1634,כסוף כהה
1635,שנהב לבן
1636,לבן
1637,שחור מטלי
1638,אפור מטל
1639,שנהב לבן
1640,לבן
1641,כסף
1642,כסף
1643,לבן
1644,שנהב לבן
1645,לבן
1646,שנהב לבן
1647,שחור
1648,לבן
1649,לבן
1650,שנהב לבן
1651,אדום
1652,שנהב לבן
1653,כחול
1654,אפור
1655,כסוף בהיר
1656,שנהב לבן
1657,שנהב לבן
1658,בז מטאלי
1659,לבן
1660,לבן
1661,שנהב לבן
1662,שחור מטלי
1663,כסף
1664,שחור מטלי
1665,אפור
1666,אפור כהה
1667,אפור
1668,אפור
1669,שחור
1670,לבן
1671,אפור
1672,אפור כהה
1673,כסף
1674,שנהב לבן
1675,שנהב לבן
1676,שנהב לבן
1677,שחור
1678,אפור
1679,כסף
1680,אפור
1681,שחור
1682,אפור כהה
1683,שנהב לבן
1684,כחול מטל
1685,אדום
1686,שנהב לבן
1687,שחור
1688,שנהב לבן
1689,לבן
1690,כסף מטלי
1691,שנהב לבן
1692,אפור
1693,שנהב לבן
1694,שחור
1695,שחור מטלי
1696,שנהב לבן
1697,שחור
1698,לבן
1699,כחול מטל
1700,לבן
1701,שחור פנינה
1702,ירוק בהיר
1703,כחול
1704,אפור כהה מטלי
1705,שנהב לבן
1706,כסף
1707,לבן
1708,שנהב לבן
1709,שנהב לבן
1710,שחור מטלי
1711,אפור מטל
1712,חום
1713,שחור
1714,אפור מטל
1715,שנהב לבן
1716,שנהב לבן
1717,שנהב לבן
1718,אדום
1719,כחול
1720,אפור כהה
1721,שחור מטלי
1722,שנהב לבן
1723,כסף מטלי
1724,לבן
1725,כחול
1726,כסף
1727,שחור
1728,שנהב לבן
1729,שנהב לבן
1730,שנהב לבן
1731,כחול
1732,שנהב לבן
1733,שחור
1734,בז מטאלי
1735,אפור מטאלי
1736,שנהב לבן
1737,שנהב לבן
1738,לבן
1739,אפור
1740,שחור מטלי
1741,תכלת
1742,שחור
1743,שנהב לבן
1744,חום
1745,אפור
1746,שנהב לבן
1747,שנהב לבן
1748,שנהב לבן
1749,לבן
1750,אפור מטל
1751,שחור
1752,כסף
1753,שחור
1754,כסף מטלי
1755,שנהב לבן
1756,אפור כהה
1757,שחור מטלי
1758,כסף מטלי
1759,כסף
1760,שנהב לבן
1761,שנהב לבן
1762,שנהב לבן
1763,שנהב לבן
1764,שחור
1765,כסף
1766,קפה מטאלי
1767,אפור
1768,שנהב לבן
1769,שנהב לבן
1770,שנהב לבן
1771,אפור מטל
1772,שחור מטלי
1773,חום בהיר
1774,שנהב לבן
1775,שנהב לבן
1776,כסוף כהה
1777,שנהב לבן
1778,אפור
1779,כחול כהה
1780,בז מטאלי
1781,לבן
1782,לבן
1783,כסוף מטאלי
1784,שנהב לבן
1785,שנהב לבן
1786,אפור כהה
1787,שנהב לבן
1788,אפור
1789,שנהב לבן
1790,לבן
1791,שחור מטאלי
1792,אפור
1793,שנהב לבן
1794,אפור בהיר מטלי
1795,כסף
1796,שנהב לבן
1797,לבן
1798,שנהב לבן
1799,אפור
1800,לבן
1801,ברונזה
1802,אפור
1803,שנהב לבן
1804,שנהב לבן
1805,כחול
1806,לבן
1807,כסף מטלי
1808,שנהב לבן
1809,לבן
1810,אפור
1811,שנהב לבן
1812,שנהב לבן
1813,שחור
1814,כסף מטלי
1815,אדום
1816,שחור
1817,אפור
1818,אפור
1819,אפור כהה מטלי
1820,שחור
1821,לבן
1822,לבן
1823,אפור
1824,שחור
1825,שנהב לבן
1826,שחור מטלי
1827,שנהב לבן
1828,כסף
1829,שנהב לבן
1830,שנהב לבן
1831,שחור
1832,שנהב לבן
1833,אפור מטל
1834,שנהב לבן
1835,כחול מטל
1836,שנהב לבן
1837,שנהב לבן
1838,שנהב לבן
1839,שנהב לבן
1840,תכלת
1841,שחור מטלי
1842,שנהב לבן
1843,שנהב לבן
1844,שחור
1845,אפור
1846,לבן
1847,כחול בהיר
1848,לבן
1849,שנהב לבן
1850,לבן
1851,שחור מטלי
1852,שנהב לבן
1853,שנהב לבן
1854,כסוף כהה
1855,כסף מטלי
1856,לבן
1857,כסף מטלי
1858,שחור
1859,כסף
1860,שנהב לבן
1861,כחול
1862,כסף מטלי
1863,אפור כהה
1864,כסף מטלי
1865,כסף תכלת מטלי
1866,כחול
1867,לבן
1868,כחול
1869,שנהב לבן
1870,שנהב לבן
1871,אפור מטל
1872,שחור
1873,לבן
1874,לבן
1875,שחור
1876,שנהב לבן
1877,לבן
1878,כחול כהה מטאלי
1879,שנהב לבן
1880,שנהב לבן
1881,שנהב לבן
1882,שנהב לבן
1883,שנהב לבן
1884,שחור
1885,שנהב לבן
1886,שחור
1887,שנהב לבן
1888,שנהב לבן
1889,שנהב לבן
1890,שחור מטלי
1891,אפור
1892,כסף
1893,בז כהה
1894,שחור
1895,שנהב לבן
1896,כסף
1897,אפור כהה
